	neo_search_transaction_id	variable	value
167	73036	social	"{""klout"": {""link"": ""http://klout.com/sppluschicago""}, ""twitter"": [{""id"": ""3294268043"", ""bio"": ""Official account for SP+ - operations experts who put innovation with expertise in Parking, Transportation & Event Logistics. We're here to help from 8-5 PM EST"", ""link"": ""https://twitter.com/SPPlusCorp"", ""website"": ""http://t.co/dfdfHo0h8p"", ""location"": ""National"", ""followers"": 490, ""following"": 415}, {""link"": ""https://twitter.com/sppluschicago""}], ""facebook"": {""link"": ""https://facebook.com/sppluscorp""}, ""linkedin"": {""link"": ""https://linkedin.com/company/sp_plus""}, ""crunchbase"": {""link"": ""https://crunchbase.com/organization/organization/sp-plus""}, ""foursquare"": {""link"": ""https://foursquare.com/v/sp-parking--fordham-garage/587f9ab3e72ef63238735a11"", ""verified"": ""true"", ""tip_count"": 0, ""users_count"": 0, ""visits_count"": 0, ""checkins_count"": 0}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/chicago-il/mip/sp-parking-fordham-garage-851953?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""description"": ""SP+ Parking operates more than 4,200 parking facilities with over 2.1 million parking spaces in hundreds of cities across North America."", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=16622128657745043055"", ""rating"": 3, ""number_of_reviews"": 2}}"
168	73037	social	"{""foursquare"": {""link"": ""https://foursquare.com/v/north-market-hall-1851/549af918498ed981aa93484f"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 1, ""visits_count"": 1, ""checkins_count"": 1}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/chicago-il/mip/north-18-condominums-1875614?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=7711416040907861853"", ""rating"": 5}}"
169	73038	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/633572475/chicago_il/lake_park_plaza_condominium.html""}, ""linkedin"": {""bio"": ""Learn about working at Lake Park Plaza Condo Assn. Join LinkedIn today for free. See who you know at Lake Park Plaza Condo Assn, leverage your professional network, and get hired."", ""link"": ""https://www.linkedin.com/company/lake-park-plaza-condo-assn"", ""followers"": 1}, ""foursquare"": {""link"": ""https://foursquare.com/v/lake-park-plaza-apartments/4ffa24cae4b009b1906cd47b"", ""likes"": 3, ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 284, ""visits_count"": 1424, ""checkins_count"": 1036}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/chicago-il/mip/lake-park-plaza-condominium-415955?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""description"": ""Founded in 1970, Lake Park Plaza is a condominium residence located in Chicago. It is a 30-story building that houses more than 400 residential units. The facility provides ownership and rental accommodations for over 700 residents. Lake Park Plaza offers studio, one- and two-bedroom apartments. The building also features multiunit residences. Each of its two-bedroom units houses a balcony. It features a sundeck and pool, as well as exercise and hospitality rooms, storage lockers, laundry facilities, and tennis and basketball courts. The facility provides maintenance, parking and bike storage services. Its apartments are equipped with mail boxes, cable television, central heating and air conditioning systems. Lake Park Plaza also offers 24-hour security services."", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=17576171733902177267"", ""rating"": 3.9, ""number_of_reviews"": 7}, ""betterbusinessbureau"": {""link"": ""https://www.bbb.org/chicago/business-reviews/condominiums/lake-park-plaza-condominium-association-in-chicago-il-88346197"", ""alert"": ""No"", ""accredited"": ""No""}}"
170	73039	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/9839271/houston_tx/warwick_towers.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/warwick-towers/4db0a8a51e729fcc5642f9c9"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 37, ""visits_count"": 71, ""checkins_count"": 69, ""user_generated_lists"": [{""url"": ""https://foursquare.com/user/10841306/list/houston"", ""name"": ""Houston"", ""created_at"": ""2011-12-05 13:41:26"", ""updated_at"": ""2015-03-29 14:26:33"", ""description"": """", ""following_count"": 1}]}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/houston-tx/mip/the-warwick-towers-12143315?from=pubapi_4r5n5vtdr3"", ""rating"": 5, ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 1}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=15700790619916323866"", ""rating"": 5}}"
171	73040	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/36376745/houston_tx/wilcrest_garden_condominiums.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/wilcrest-garden-condominiums/4fb06b72e4b0dfd9ca52cbfc"", ""likes"": 0, ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 2, ""visits_count"": 16, ""checkins_count"": 16}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/houston-tx/mip/wilcrest-garden-condominiums-home-owners-association-458053422?from=pubapi_4r5n5vtdr3"", ""rating"": 1, ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 1}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=116882458422388316"", ""rating"": 3, ""number_of_reviews"": 4}, ""betterbusinessbureau"": {""link"": ""https://www.bbb.org/houston/business-reviews/apartments/wilcrest-garden-condominiums-in-houston-tx-22005984/"", ""alert"": ""No"", ""accredited"": ""No""}}"
172	73041	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/776324320/houston_tx/champions_valley_townhomes.html""}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/houston-tx/mip/champions-valley-townhomes-17656048?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=13377426225419414459"", ""rating"": 3}, ""betterbusinessbureau"": {""link"": ""https://www.bbb.org/houston/business-reviews/condominiums/champions-valley-townhomes-in-houston-tx-90004691/"", ""alert"": ""No"", ""accredited"": ""No""}}"
173	73042	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/9937707/houston_tx/brant_rock_condominiums.html""}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/houston-tx/mip/brant-rock-condominiums-461784403?from=pubapi_4r5n5vtdr3"", ""claimed"": ""true"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=11440299092055770130"", ""rating"": 4, ""number_of_reviews"": 27}}"
174	73043	social	"{""facebook"": {""url"": ""https://www.facebook.com/pages/Huntington-Village-Townhome/133509933368680"", ""review_count"": ""3"", ""review_score"": ""4""}, ""foursquare"": {""link"": ""https://foursquare.com/v/huntington-village-pool/576ed42a498e8d87ad58a4f2"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 54, ""visits_count"": 142, ""checkins_count"": 20}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/houston-tx/mip/huntington-village-twnhm-3047469?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=15897153362103605862"", ""rating"": 5, ""number_of_reviews"": 9}}"
175	73044	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/8957733/philadelphia_pa/hopkinson_house_owners_assn.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/hopkinson-house-garage/4d3f35b5adb6236abddf7c40"", ""verified"": ""false"", ""tip_count"": 0, ""image_count"": 1, ""users_count"": 15, ""visits_count"": 221, ""checkins_count"": 220}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/philadelphia-pa/mip/hopkinson-house-8669137?from=pubapi_4r5n5vtdr3"", ""claimed"": ""true"", ""description"": ""Hopkinson House is a high-rise condominium located in Center City Philadelphia."", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}}"
176	73045	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/8975968/philadelphia_pa/park_plaza_condominium_association.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/park-plaza-health-club/4c7b81623badb1f7b2005554"", ""verified"": ""false"", ""tip_count"": 1, ""image_count"": 1, ""users_count"": 12, ""visits_count"": 54, ""checkins_count"": 54, ""number_of_tips"": 1}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/philadelphia-pa/mip/park-plaza-condominiums-468298650?from=pubapi_4r5n5vtdr3"", ""rating"": 5, ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 1}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=10927980744460976787"", ""rating"": 4.2, ""number_of_reviews"": 25}, ""betterbusinessbureau"": {""link"": ""https://www.bbb.org/stlouis/business-reviews/condominiums/chase-park-plaza-condominiums-in-saint-louis-mo-310329023/bbb-accreditation"", ""alert"": ""No"", ""accredited"": ""No""}}"
177	73046	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/716751160/philadelphia_pa/carriage_house_condo.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/carriage-house-herbs/4f32555c19836c91c7cd71b9"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 0, ""visits_count"": 0, ""checkins_count"": 0}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/philadelphia-pa/mip/carriage-house-condo-465591897?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=11747133568888225114"", ""rating"": 3, ""number_of_reviews"": 3}}"
178	73047	social	"{""facebook"": {""url"": ""https://www.facebook.com/pages/Fountain-Pointe-of-Philadelphia-Office/123415741048681?rf=293636927402376"", ""likes"": ""4"", ""checkins"": ""494""}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/philadelphia-pa/mip/fountain-pointe-of-philadelphia-office-3660047?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=4028701409056932767"", ""rating"": 4.1}, ""betterbusinessbureau"": {""link"": ""https://www.bbb.org/washington-dc-eastern-pa/business-reviews/condominiums/fountain-pointe-association-in-philadelphia-pa-80016495/bbb-accreditation"", ""alert"": ""No"", ""accredited"": ""No""}}"
179	73048	social	"{""twitter"": [{""link"": ""http://twitter.com/phillyrealtor""}, {""id"": ""45932552"", ""bio"": ""More than a portal: The #1 web platform designed to streamline operations, save time/money, & foster community in the multi-family housing industry."", ""link"": ""https://twitter.com/BuildingLink"", ""website"": ""http://t.co/qF26nBnavJ"", ""location"": ""New York, USA"", ""followers"": 650, ""following"": 467}], ""citygrid"": {""link"": ""http://www.citysearch.com/profile/8946602/philadelphia_pa/the_ellington.html""}, ""facebook"": {""link"": ""https://facebook.com/buildinglink""}, ""crunchbase"": {""link"": ""https://crunchbase.com/organization/organization/buildinglink-com""}, ""foursquare"": {""link"": ""https://foursquare.com/v/the-ellington-condominiums/4bda4f742a3a0f4747caaab6"", ""likes"": 3, ""verified"": ""false"", ""tip_count"": 1, ""image_count"": 6, ""users_count"": 163, ""visits_count"": 686, ""checkins_count"": 615, ""number_of_tips"": 1}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/philadelphia-pa/mip/ellington-2253595?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=8631850143113947156"", ""rating"": 3.7, ""number_of_reviews"": 3}}"
180	73049	social	"{""klout"": {""link"": ""http://klout.com/AptHomeSolution""}, ""other"": {""link"": ""https://www.owler.com/iaApp/905495/apartment---home-solutions-company-profile""}, ""twitter"": [{""id"": ""2303573948"", ""bio"": ""We're a free apartment and home-finding solution in Arizona! We'll find the place, you'll call it home. ¡Se habla español!"", ""link"": ""https://twitter.com/AptHomeSolution"", ""website"": ""http://t.co/20ILTFYdei"", ""location"": ""Phoenix, AZ"", ""followers"": 34, ""following"": 62}], ""citygrid"": {""link"": ""http://www.citysearch.com/profile/38541447/phoenix_az/apartment_home_solutions.html""}, ""facebook"": {""url"": ""https://www.facebook.com/apthomesolutions/"", ""link"": ""https://facebook.com/apthomesolutions"", ""likes"": ""1,298"", ""checkins"": ""28"", ""verified"": ""false"", ""review_count"": ""2"", ""review_score"": ""5"", ""milestones_count"": 0, ""one_star_review_count"": ""0"", ""two_star_review_count"": ""0"", ""five_star_review_count"": ""2"", ""four_star_review_count"": ""0"", ""three_star_review_count"": ""0"", ""date_of_last_post_by_business"": ""Monday, June 12, 2017 at 11:30am""}, ""foursquare"": {""link"": ""https://foursquare.com/v/apartment--home-solutions/4ddd7e5f45dd033c391a0620"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 6, ""visits_count"": 7, ""checkins_count"": 7}, ""googleplus"": {""link"": ""https://plus.google.com/110695959580725621461""}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/phoenix-az/mip/apartment-home-solutions-516065720?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""description"": ""Apartment & Home Solutions offers a free apartment, house, townhome or condo locating service in the Phoenix and Scottsdale, AZ metro areas. Our team of licensed real estate agents can save you time and money by researching available properties and finding you an ideal place. You no longer have to worry about application fees, being turned away or racing from one end of town to the next. Let us do the research so that you can move in. Apartment & Home Solutions offers a variety of specialized solutions, including: Short-term rentals Specific amenities or features Pet-friendly rentals Solutions for those who have been evicted Solutions for those with bad credit Give us two hours and we can save you two weeks. Credit challenges? Not with us. Not only can we find your next place, we can help you with a program to repair your credit. At Apartment & Home Solutions, \""we'll find the place; you'll call it home.\"" Call Apartment & Home Solutions today for help finding your next rental!"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=11956747359200500184"", ""rating"": 4.1, ""number_of_reviews"": 18}}"
181	73050	social	"{""klout"": {""link"": ""http://klout.com/CambridgeAZ""}, ""other"": {""link"": ""https://www.owler.com/iaApp/863688/cambridge-properties-company-profile""}, ""twitter"": [{""id"": ""611797064"", ""bio"": ""From high rise luxury to single family elegance, Cambridge Properties is redefining what it means to live in Phoenix."", ""link"": ""https://twitter.com/CambridgeAZ"", ""website"": ""http://t.co/Y6eEqXcQDo"", ""followers"": 79, ""following"": 60}], ""citygrid"": {""link"": ""http://www.citysearch.com/profile/1651474/phoenix_az/cambridge_properties.html""}, ""facebook"": {""link"": ""https://facebook.com/cambridgeaz""}, ""linkedin"": {""bio"": ""Cambridge Properties is recognized as one of the Valley’s premier Brokers for luxury residential living. Most notably, since 2003 Cambridge Properties has closed over one billion dollars in new home sales of urban-lifestyle developments as well as single-family homes in Metro Phoenix. Keith directly oversees all aspects of the sales and marketing of a community from inception through completion. With nearly 10,000 homes sold in all price points, notable experience includes The Residences at 2211 Camelback, Esplanade Place across from Biltmore Fashion Park, and Montelucia in Paradise Valley. In addition to the award winning New Home Sales division, Cambridge Properties has a boutique resale and investment division with several of the top sales professionals in the market today."", ""link"": ""https://linkedin.com/company/cambridge-properties"", ""followers"": 191}, ""zoominfo"": {""link"": ""http://www.zoominfo.com/c/Cambridge-Properties-Inc/18976899"", ""description"": ""For over twenty years, Cambridge Properties has been strengthening the market share of developers across the Valley by handling their sales and marketing efforts - allowing builders to build and to consistently meet or exceed sales goals. If you're a developer of urban living, condominiums, resort living or single-family homes, you'll like what Cam...more""}, ""pinterest"": {""bio"": ""From high rise luxury to cottage style elegance, Cambridge Properties is redefining what it means to live in Phoenix."", ""link"": ""http://www.pinterest.com/cambridgeaz/"", ""followers"": 7, ""following"": 79}, ""foursquare"": {""link"": ""https://foursquare.com/v/cambridge-properties/5048df55d86c082dec02dfe9"", ""verified"": ""false"", ""tip_count"": 1, ""image_count"": 2, ""users_count"": 5, ""visits_count"": 14, ""checkins_count"": 10, ""number_of_tips"": 1}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/phoenix-az/mip/cambridge-properties-6403599?from=pubapi_4r5n5vtdr3"", ""claimed"": ""true"", ""description"": ""From high rise luxury to cottage style elegance, Cambridge Properties is redefining what it means to live in Phoenix."", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=15836663324351069664"", ""rating"": 5, ""number_of_reviews"": 4}, ""betterbusinessbureau"": {""link"": ""https://www.bbb.org/phoenix/business-reviews/real-estate-services/cambridge-properties-inc-in-phoenix-az-27006299/"", ""alert"": ""No"", ""accredited"": ""No""}}"
182	73051	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/1633406/phoenix_az/casa_fiesta_townhouse_corp.html""}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/phoenix-az/mip/casa-fiesta-townhouse-corp-8133134?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=7983816464859111381"", ""rating"": 4.4, ""number_of_reviews"": 9}}"
183	73052	social	"{""yellowpages"": {""link"": ""http://www.yellowpages.com/phoenix-az/mip/fontenelle-lofts-condominium-19068930?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}}"
184	73053	social	"{""yellowpages"": {""link"": ""http://www.yellowpages.com/phoenix-az/mip/judy-blake-real-estate-homesmart-482195244?from=pubapi_4r5n5vtdr3"", ""claimed"": ""true"", ""description"": ""Judy Blake specializes in primary, secondary, and investment purchases in the  Valley of the Sun for those in search of  sunshine,  retirement, or simpler condominium living throughout Metro Phoenix and  the Master-Planned Communities of Desert Ridge and Grayhawk.   \n \nTrust, communication, customer service, professionalism, and enthusiasm are the key  elements in your real estate experience. Originally from Chicago, Judy  is fueled by a deeply-rooted Midwestern work ethic so you can be  assured of accessibility and support from Judy and her team of  professionals throughout the successfully-executed transaction process.  \n \nYou  will find your experience more reassuring as well as enjoyable with a determined, conscientious, and  personable agent who has your best interests in mind -- first and  foremost."", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}}"
185	73054	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/10105371/san_antonio_tx/calais_villas_condominiums_hoa.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/calais-villas/502d1ce1e4b0d98c30279a79"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 7, ""visits_count"": 9, ""checkins_count"": 9}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-antonio-tx/mip/calais-villas-condominiums-hoa-6937735?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=6706623444388924974"", ""rating"": 3.5, ""number_of_reviews"": 4}}"
186	73055	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/10095056/san_antonio_tx/windsor_court_condominiums.html""}, ""facebook"": {""url"": ""https://www.facebook.com/pages/Windsor-Court-Condominiums/104659889601828""}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-antonio-tx/mip/windsor-court-condominiums-5485692?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=9710554434514255588"", ""rating"": 4.5, ""number_of_reviews"": 2}}"
187	73056	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/10118630/san_antonio_tx/lafayette_place.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/lafayette-place/56dc6bca498e2e8d4278d29c"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 19, ""visits_count"": 213, ""checkins_count"": 191}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-antonio-tx/mip/lafayette-place-8162318?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=5560967103153346957"", ""rating"": 4.8, ""number_of_reviews"": 10}}"
188	73057	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/10105367/san_antonio_tx/rampart_crossing_condominiums.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/rampart-crossing-condominiums/50a3f33de4b099b1b79dfeb6"", ""verified"": ""false"", ""tip_count"": 1, ""users_count"": 7, ""visits_count"": 20, ""checkins_count"": 18, ""number_of_tips"": 1}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-antonio-tx/mip/rampart-crossing-condominiums-2387550?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=6933471773346753632"", ""rating"": 4, ""number_of_reviews"": 4}}"
189	73058	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/34558683/san_antonio_tx/las_sombras_condominiums.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/las-sombras-clubhouse/5054bdf7e4b017bb2634d27c"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 10, ""visits_count"": 12, ""checkins_count"": 5}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-antonio-tx/mip/las-sombras-condominiums-10026665?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=12401210590124709292"", ""rating"": 4, ""number_of_reviews"": 3}}"
190	73059	social	"{""other"": {""link"": ""https://www.owler.com/iaApp/1104373/dana-horne-realty-company-profile""}, ""twitter"": [{""link"": ""https://twitter.com/DanaHorneRealty"", ""followers"": 1}], ""citygrid"": {""link"": ""http://www.citysearch.com/profile/626022955/san_diego_ca/dana_horne_realty.html""}, ""facebook"": {""link"": ""https://www.facebook.com/danahornerealty""}, ""linkedin"": {""link"": ""https://linkedin.com/company/danahornerealty""}, ""foursquare"": {""link"": ""https://foursquare.com/v/dana-horne-realty/57f146fc498e1e1c5d5b709b"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 0, ""visits_count"": 0, ""checkins_count"": 0}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-diego-ca/mip/dana-horne-realty-532191018?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Real Estate Investing"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=10918290884361751302"", ""rating"": 5}, ""betterbusinessbureau"": {""link"": ""https://www.bbb.org/sdoc/business-reviews/real-estate/dana-horne-realty-in-san-diego-ca-14001484"", ""alert"": ""No"", ""accredited"": ""No""}}"
191	73061	social	"{""foursquare"": {""link"": ""https://foursquare.com/v/park-villas-north-condominiums/5209cc2a11d244c9589de1a3"", ""verified"": ""false"", ""tip_count"": 0, ""users_count"": 97, ""visits_count"": 230, ""checkins_count"": 77}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-diego-ca/mip/park-villas-north-condominium-association-15196627?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}, ""googleplaces"": {""link"": ""https://maps.google.com/?cid=9861483964614436772"", ""rating"": 4, ""number_of_reviews"": 6}}"
192	73062	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/466586/san_diego_ca/westview_homeowners_assn.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/westview-park/4b78823df964a520ffd22ee3"", ""likes"": 6, ""rating"": 7.6, ""verified"": ""false"", ""tip_count"": 3, ""image_count"": 12, ""users_count"": 498, ""visits_count"": 1711, ""checkins_count"": 724, ""number_of_tips"": 3, ""number_of_ratings"": 9}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/san-diego-ca/mip/westview-homeowners-association-7525426?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}}"
193	73063	social	"{""klout"": {""link"": ""http://klout.com/JPRealtors""}, ""other"": {""link"": ""https://www.owler.com/iaApp/7121527/tim-stoll-company-profile""}, ""twitter"": [{""bio"": ""Dallas TX Real Estate and Homes For Sale - Tim Stoll of Keller Williams Realty 214-868-2959 | timstoll@kw.com   #dallasrealestate #lgbt #kwri"", ""link"": ""https://twitter.com/timstollrealtor"", ""followers"": 1426, ""following"": 1956}, {""id"": ""1415950008"", ""bio"": ""A Real Estate Brokerage Driven by Passion to Exceed the Expectations of our Clients & REALTORS. We specialize in residential real estate in the DFW TX Metroplex"", ""link"": ""https://twitter.com/JPRealtors"", ""website"": ""https://t.co/PuIVJYtdjz"", ""location"": ""DFW, Austin & Manhattan "", ""followers"": 323, ""following"": 122}], ""citygrid"": {""link"": ""http://www.citysearch.com/profile/685213280/dallas_tx/tim_stoll_real_estate.html""}, ""facebook"": {""link"": ""https://facebook.com/jpandassociatesrealtors""}, ""linkedin"": {""link"": ""https://linkedin.com/company/jp-&-associates-realtors""}, ""pinterest"": {""bio"": ""Houses for sale Dallas TX real estate, Tim Stoll of Keller Williams Urban Dallas. Assisting buyers and sellers of residential real estate for over 12 years."", ""link"": ""http://www.pinterest.com/timstollrealtor/"", ""followers"": 480, ""following"": 652}, ""crunchbase"": {""link"": ""https://crunchbase.com/organization/organization/jp-associates""}, ""foursquare"": {""bio"": ""Tim Stoll real estate agent with Keller Williams Urban Dallas assisting home buyers and house sellers for over 13 years. #lgbt"", ""link"": ""https://foursquare.com/v/tim-stoll-real-estate/50dfaa02e4b0a366483bda56"", ""likes"": 5, ""verified"": ""true"", ""tip_count"": 4, ""users_count"": 1, ""visits_count"": 15, ""checkins_count"": 15, ""number_of_tips"": 5, ""user_generated_lists"": [{""url"": ""https://foursquare.com/marcushilesfort/list/marcus-hiles-fort-worth"", ""name"": ""Marcus Hiles Fort Worth"", ""created_at"": ""2016-07-01 01:19:56"", ""updated_at"": ""2016-07-01 01:19:56"", ""description"": """", ""following_count"": 0}]}, ""googleplus"": {""bio"": ""Frisco based real estate brokerage with multiple offices in the DFW Metroplex specializing in residential sales and leases in the DFW Metroplex. We serve Collin, Denton, Dallas, and Tarrant Counties. Our agents strive to always exceed client's expectations and are some of the best trained, most productive and tech savvy REALTORS in the local real estate market. Our career is real estate. Our passion is helping people."", ""link"": ""https://plus.google.com/109756196221549555595"", ""followers"": 150}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/dallas-tx/mip/tim-stoll-real-estate-473766367?from=pubapi_4r5n5vtdr3"", ""claimed"": ""true"", ""description"": ""Tim Stoll real estate agent, specializing in Texas urban living. Your local real estate office and local urban experts. Let Tim Stoll be your guide and expert about living in the big D. Our local information and data comes directly from the Dallas mls and is updated throughout the day. Use a local real estate company and local REALTOR."", ""primary_category"": ""Townhouses"", ""number_of_ratings"": 0}}"
194	73064	social	"{""citygrid"": {""link"": ""http://www.citysearch.com/profile/9618417/dallas_tx/hillcrest_villa_inc.html""}, ""foursquare"": {""link"": ""https://foursquare.com/v/hillcrest-bank/4bad046ff964a520db243be3"", ""verified"": ""false"", ""tip_count"": 0, ""image_count"": 1, ""users_count"": 18, ""visits_count"": 665, ""checkins_count"": 664}, ""yellowpages"": {""link"": ""http://www.yellowpages.com/dallas-tx/mip/hillcrest-villa-inc-3523326?from=pubapi_4r5n5vtdr3"", ""claimed"": ""false"", ""primary_category"": ""Condominiums"", ""number_of_ratings"": 0}}"
